make,total_sales,unique_models,average_selling_price,average_mmr,average_price_difference,average_price_difference_percentage,average_odometer,average_vehicle_condition,minimum_selling_price,maximum_selling_price,sales_above_mmr,sales_below_mmr,sales_above_mmr_percentage
FORD,93996,75,14496.12,14688.58,-192.46,-0.74,63873.0,33.13,1,230000,42784,49264,45.52
CHEVROLET,60587,91,11939.36,12110.9,-171.54,-0.71,77151.51,27.69,100,88250,28528,30828,47.09
NISSAN,54017,35,11731.56,11859.55,-127.99,-0.8,56314.2,31.99,100,86400,25509,27479,47.22
TOYOTA,39966,39,12237.65,12347.14,-109.49,-0.48,74141.04,30.61,150,68900,18592,20508,46.52
DODGE,30953,40,11164.07,11373.09,-209.01,-1.84,72865.04,26.96,100,51700,14329,16055,46.29
HONDA,27351,22,10905.41,10967.0,-61.59,0.18,80725.53,29.27,200,37000,13626,13293,49.82
HYUNDAI,21831,23,11003.27,11224.63,-221.36,-1.55,51270.24,32.14,100,55000,10408,10884,47.68
BMW,20707,42,21267.35,21405.45,-138.1,-0.29,64530.34,33.32,100,165000,9777,10608,47.22
KIA,18082,18,11806.18,11944.79,-138.61,-1.14,46029.44,33.67,150,42750,8504,9005,47.03
CHRYSLER,17483,25,11068.15,11316.01,-247.86,-1.94,66336.01,25.5,100,41000,7719,9315,44.15
MERCEDES-BENZ,17141,25,21590.57,21940.22,-349.65,-0.17,62415.02,32.34,1,173000,7300,9481,42.59
JEEP,15483,14,14952.74,15072.02,-119.28,-1.02,70049.88,29.64,200,61000,7349,7786,47.46
INFINITI,15305,35,20417.46,20505.1,-87.64,-0.29,45859.78,35.23,200,75000,7324,7707,47.85
VOLKSWAGEN,12579,30,9368.68,9518.81,-150.14,-0.92,66907.36,29.39,200,42800,5862,6491,46.6
LEXUS,11980,39,20213.99,20297.93,-83.94,0.4,69966.36,32.64,200,81000,5565,6177,46.45
GMC,10638,34,16923.4,17028.46,-105.05,0.38,84750.98,31.32,200,66000,5119,5301,48.12
MAZDA,8508,36,10050.08,10173.99,-123.9,-0.03,66090.36,30.05,200,35000,4134,4209,48.59
CADILLAC,7629,27,15072.47,15191.72,-119.25,-0.62,83867.33,29.4,150,83000,3652,3880,47.87
ACURA,5926,17,13983.6,14043.24,-59.64,0.51,86059.7,29.85,200,47800,2973,2861,50.17
