sale_year,sale_month,sale_month_name,total_sales,unique_vehicles,average_selling_price,average_mmr,average_price_difference,average_price_difference_percentage,minimum_selling_price,maximum_selling_price
2014,1,January,206,206,15555.95,15589.81,-33.86,0.3,450,40750
2014,2,February,1,1,10500.0,11150.0,-650.0,-5.83,10500,10500
2014,12,December,53414,53311,11288.76,11575.01,-286.25,-1.31,100,156000
2015,1,January,138506,137720,13352.65,13535.12,-182.47,-1.23,1,169500
2015,2,February,159089,157977,13729.0,13796.15,-67.15,0.36,1,230000
2015,3,March,45197,45141,13562.31,13596.79,-34.48,0.09,1,124000
2015,4,April,1405,1405,10407.83,11858.47,-1450.64,-17.41,100,84500
2015,5,May,51296,51229,14430.6,14774.81,-344.2,-2.51,100,173000
2015,6,June,98007,97734,15078.8,15229.7,-150.9,-0.57,100,183000
2015,7,July,1279,1266,17045.2,17197.36,-152.16,0.42,500,105000
