state,total_sales,unique_makes,unique_models,average_selling_price,average_mmr,average_price_difference,average_odometer,average_vehicle_condition,minimum_selling_price,maximum_selling_price
FL,81480,56,781,13976.67,14116.94,-140.27,63671.06,30.38,200,183000
CA,71658,57,803,14540.31,14524.89,15.42,68600.7,30.7,1,173000
PA,53154,49,667,16038.39,16219.48,-181.09,52453.23,32.5,100,154750
TX,45195,49,687,13296.17,13520.15,-223.98,72796.57,30.88,1,138500
GA,34056,49,684,12990.11,13028.04,-37.93,75848.5,31.36,1,140500
NJ,27331,45,614,13626.46,14148.53,-522.07,60904.81,31.18,100,103000
IL,23188,46,572,14852.8,15019.97,-167.16,47920.03,28.51,175,134500
NC,21333,46,624,8744.49,8641.38,103.12,102148.0,28.59,150,99000
OH,21209,46,585,14380.16,14537.92,-157.75,63992.46,32.87,200,113000
TN,20691,43,554,17069.4,16962.73,106.67,51602.0,33.92,350,101200
MO,15798,43,531,14557.16,14572.02,-14.86,59237.34,33.69,175,230000
MI,15287,41,462,14982.87,15340.14,-357.26,61022.59,32.41,200,126250
NV,12453,47,601,15152.36,15099.28,53.07,61146.52,31.54,150,97000
VA,11694,47,545,8684.67,8994.41,-309.74,97774.87,24.05,1,52400
MD,10841,44,535,7504.94,8116.26,-611.33,101731.52,26.07,200,62000
WI,9704,44,514,14054.82,14434.58,-379.76,65663.24,29.65,225,149800
MN,9301,43,441,13789.78,13839.29,-49.51,63824.88,31.4,200,71000
AZ,8575,46,528,11627.5,11852.92,-225.43,74321.76,28.2,250,78500
CO,7661,40,429,15985.26,15941.94,43.32,53317.6,31.58,250,83000
WA,7256,45,514,14077.44,13788.43,289.0,63782.65,32.45,150,69800
MA,6525,42,475,6789.08,7441.19,-652.11,107530.85,27.09,200,74200
NY,5609,41,446,11479.33,12454.81,-975.48,73770.06,30.2,200,54200
IN,4273,41,343,10793.29,11290.59,-497.3,73053.44,30.42,250,54300
SC,4146,41,405,10429.1,10683.49,-254.39,88370.78,28.69,150,56200
NE,3954,43,399,12681.88,12706.05,-24.17,74620.43,31.87,200,55500
ON,3008,36,210,18232.23,18123.94,108.29,62617.76,34.37,200,51000
PR,2673,41,261,9528.08,9914.19,-386.11,56958.62,30.86,100,106400
LA,2164,42,336,10592.97,11030.85,-437.88,89667.37,28.65,175,82000
MS,1814,37,265,11364.41,11859.92,-495.52,79541.44,28.49,100,54000
UT,1798,37,308,12228.0,13265.57,-1037.58,92420.37,24.31,100,75500
HI,1222,38,249,12296.15,13209.78,-913.63,46114.58,30.98,100,45250
OR,1136,39,259,11667.74,11858.82,-191.09,67712.73,28.57,150,44700
QC,1108,31,155,14003.34,14291.4,-288.06,72732.77,32.99,300,43600
AB,801,29,143,11793.01,12698.78,-905.77,121800.24,25.28,200,39400
NM,164,29,100,6442.68,7638.26,-1195.58,104576.84,23.76,300,38500
OK,69,14,43,6978.26,7946.01,-967.75,127644.0,25.46,600,21600
NS,46,14,30,10041.3,10618.48,-577.17,89621.39,32.04,1600,27800
AL,25,11,20,9440.0,10231.0,-791.0,94653.2,27.96,650,28700
